ParameterId;Date;Value
1;01.08.2011;1,259285
2;01.08.2011;0,8814992
3;01.08.2011;0,3777854
4;01.08.2011;1234,066
5;01.08.2011;215,9294
6;01.08.2011;0,31
7;01.08.2011;22,3
8;01.08.2011;49,22737
9;01.08.2011;1,203085
10;01.08.2011;1,169744
11;01.08.2011;0,9997323
12;01.08.2011;0,503745
13;01.08.2011;0,3243417
14;01.08.2011;0,6602646
15;01.08.2011;3,343778
20;01.08.2011;0,1940297
21;01.08.2011;4,633873
22;01.08.2011;4,482094
23;01.08.2011;2,686577
24;01.08.2011;599,6981
25;01.08.2011;0,1310761
26;01.08.2011;246,2621
28;01.08.2011;26,56669
29;01.08.2011;57,5
30;01.08.2011;3111,329
31;01.08.2011;2,777288
34;01.08.2011;25,4864
35;01.08.2011;318,1564
36;01.08.2011;0,9794344
37;01.08.2011;0,9473684
38;01.08.2011;7,977651
39;01.08.2011;23,04348
40;01.08.2011;1,096437
41;01.08.2011;1,344262
42;01.08.2011;1,109181
43;01.08.2011;11,5
44;01.08.2011;0,46
45;01.08.2011;0,3
46;01.08.2011;0,5
47;01.08.2011;89
48;01.08.2011;8,2
49;01.08.2011;36,74332
50;01.08.2011;58,1445
51;01.08.2011;1965,154
52;01.08.2011;3,699276
53;01.08.2011;1154,443
54;01.08.2011;1917,094
55;01.08.2011;448,9046
1;01.08.2011;1,271552
2;01.08.2011;0,8900864
3;01.08.2011;0,3814656
4;01.08.2011;1246,946
5;01.08.2011;207,7594
6;01.08.2011;0,4375
7;01.08.2011;20,9
8;01.08.2011;47,28507
9;01.08.2011;1,215561
10;01.08.2011;1,297112
11;01.08.2011;0,9996881
12;01.08.2011;0,5110034
13;01.08.2011;0,3290151
14;01.08.2011;0,6697782
15;01.08.2011;3,18585
20;01.08.2011;0,2045467
21;01.08.2011;4,604608
22;01.08.2011;5,046883
23;01.08.2011;2,708008
24;01.08.2011;616,9066
25;01.08.2011;0,147593
26;01.08.2011;249,5683
28;01.08.2011;29,87545
29;01.08.2011;64
30;01.08.2011;3359,405
31;01.08.2011;2,969332
34;01.08.2011;29,1739
35;01.08.2011;444,8374
36;01.08.2011;0,9885204
37;01.08.2011;0,9549098
38;01.08.2011;7,790457
39;01.08.2011;30,51282
40;01.08.2011;1,118116
41;01.08.2011;1,369852
42;01.08.2011;1,126866
43;01.08.2011;11,2
44;01.08.2011;0,46
45;01.08.2011;0,3
46;01.08.2011;0,7
47;01.08.2011;89,1
48;01.08.2011;8,1
49;01.08.2011;35,6641
50;01.08.2011;58,04765
51;01.08.2011;1853,936
52;01.08.2011;3,655895
53;01.08.2011;1289,205
54;01.08.2011;2143,323
55;01.08.2011;454,7491
1;01.08.2011;1,366457
2;01.08.2011;0,9565201
3;01.08.2011;0,4099372
4;01.08.2011;1251,276
5;01.08.2011;225,5978
6;01.08.2011;0,575
7;01.08.2011;21,4
8;01.08.2011;47,13656
9;01.08.2011;1,218391
10;01.08.2011;1,268084
11;01.08.2011;0,9997414
12;01.08.2011;0,5436712
13;01.08.2011;0,3500487
14;01.08.2011;0,7125964
15;01.08.2011;3,13351
20;01.08.2011;0,2096716
21;01.08.2011;4,655833
22;01.08.2011;4,766831
23;01.08.2011;2,807578
24;01.08.2011;621,0547
25;01.08.2011;0,139403
26;01.08.2011;299,093
28;01.08.2011;29,01039
29;01.08.2011;61,5
30;01.08.2011;3240,821
31;01.08.2011;2,752929
34;01.08.2011;28,38504
35;01.08.2011;439,2434
36;01.08.2011;0,9885057
37;01.08.2011;0,9578313
38;01.08.2011;7,789343
39;01.08.2011;42,54546
40;01.08.2011;1,091341
41;01.08.2011;1,32847
42;01.08.2011;1,097068
43;01.08.2011;11,3
44;01.08.2011;0,46
45;01.08.2011;0,3
46;01.08.2011;0,6
47;01.08.2011;89
48;01.08.2011;8,1
49;01.08.2011;35,30073
50;01.08.2011;57,53828
51;01.08.2011;1860,479
52;01.08.2011;3,78519
53;01.08.2011;1230,186
54;01.08.2011;2059,878
55;01.08.2011;442,3672
1;02.08.2011;1,280966
2;02.08.2011;0,8966762
3;02.08.2011;0,3842898
4;02.08.2011;1239,927
5;02.08.2011;232,9946
6;02.08.2011;0,6475
7;02.08.2011;19,3
