ParameterId;Date;Value
8;01.08.2021 0:00;49,22737
8;01.08.2021 8:00;47,28507
8;01.08.2021 16:00;47,13656
8;02.08.2021 0:00;44,77958
8;02.08.2021 8:00;44,44444
8;02.08.2021 16:00;43,96355
8;03.08.2021 8:00;47,74347
8;03.08.2021 16:00;54,0404
8;04.08.2021 0:00;44,59459
8;04.08.2021 8:00;47,2973
8;05.08.2021 0:00;50,73892
8;05.08.2021 8:00;48,82629
8;05.08.2021 16:00;40,3599
8;06.08.2021 0:00;52,13033
8;06.08.2021 8:00;50,23923
8;06.08.2021 16:00;45,45454
8;07.08.2021 0:00;46,34703
8;07.08.2021 8:00;48,45361
8;07.08.2021 16:00;46,56319
8;08.08.2021 0:00;44,21769
8;08.08.2021 8:00;42,76018
8;08.08.2021 16:00;43,0839
8;09.08.2021 0:00;49,87469
8;09.08.2021 8:00;44,44445
8;09.08.2021 16:00;44,13145
8;10.08.2021 0:00;47,29412
8;10.08.2021 8:00;47,51131
8;10.08.2021 16:00;46,90664
8;11.08.2021 0:00;44,70588
8;11.08.2021 8:00;44,71745
8;11.08.2021 16:00;49,60836
8;12.08.2021 0:00;47,03088
8;12.08.2021 8:00;44,94118
8;12.08.2021 16:00;43,79562
8;13.08.2021 0:00;44,77612
8;13.08.2021 8:00;44,44444
8;13.08.2021 16:00;45,11628
8;14.08.2021 0:00;45,08009
8;14.08.2021 8:00;43,11927
8;14.08.2021 16:00;44,18605
8;15.08.2021 0:00;44,23963
8;15.08.2021 8:00;40,78341
8;15.08.2021 16:00;40,3423
8;16.08.2021 0:00;42,21219
8;16.08.2021 8:00;40
8;16.08.2021 16:00;44,70588
8;17.08.2021 0:00;43,82566
8;17.08.2021 8:00;43,48837
8;17.08.2021 16:00;43,17073
8;18.08.2021 0:00;42,71605
8;18.08.2021 8:00;44,24779
8;18.08.2021 16:00;44,17476
8;19.08.2021 0:00;41,23223
8;19.08.2021 8:00;42,72301
8;19.08.2021 16:00;41,68674
8;20.08.2021 0:00;44,19643
8;20.08.2021 8:00;43,57798
8;20.08.2021 16:00;43,51852
8;21.08.2021 0:00;39,24051
8;21.08.2021 8:00;40,94118
8;21.08.2021 16:00;42,92683
8;22.08.2021 0:00;45,73991
8;22.08.2021 8:00;44,36781
8;22.08.2021 16:00;42,69407
8;23.08.2021 0:00;41,26213
8;23.08.2021 8:00;42,71845
8;23.08.2021 16:00;43,20388
8;24.08.2021 0:00;45,24887
8;24.08.2021 8:00;44,36937
8;24.08.2021 16:00;45,43379
8;25.08.2021 0:00;40,8313
8;25.08.2021 8:00;39,58869
8;25.08.2021 16:00;43,68932
8;26.08.2021 0:00;44,13043
8;26.08.2021 8:00;42,82353
8;26.08.2021 16:00;44,24779
8;27.08.2021 0:00;38,92944
8;27.08.2021 8:00;40,69767
8;27.08.2021 16:00;42,28028
8;28.08.2021 0:00;42,82353
8;28.08.2021 8:00;43,02325
8;28.08.2021 16:00;44,09091
8;29.08.2021 0:00;39,64647
8;29.08.2021 8:00;43,14721
8;29.08.2021 16:00;40,60914
8;30.08.2021 0:00;42,82353
8;30.08.2021 8:00;43,02325
8;30.08.2021 16:00;45,51724
8;31.08.2021 0:00;42,02898
8;31.08.2021 8:00;43,15545
8;31.08.2021 16:00;41,80523
8;01.09.2021 0:00;45,45454
8;01.09.2021 8:00;42,7907
8;01.09.2021 16:00;42,58373
8;02.09.2021 0:00;37,9845
8;02.09.2021 8:00;41,90476
8;02.09.2021 16:00;41,46341
8;03.09.2021 0:00;43,80952
8;03.09.2021 8:00;44,52055
8;03.09.2021 16:00;43,379
8;04.09.2021 0:00;42,37288
8;04.09.2021 8:00;41,43921
8;04.09.2021 16:00;40,10025
8;05.09.2021 0:00;43,43892
8;05.09.2021 8:00;43,70709
8;05.09.2021 16:00;42,45283
8;06.09.2021 0:00;39,80099
8;06.09.2021 8:00;42,25352
8;06.09.2021 16:00;41,99029
8;07.09.2021 0:00;43,67816
8;07.09.2021 8:00;43,79391
8;07.09.2021 16:00;41,48936
8;08.09.2021 0:00;43,56659
8;08.09.2021 8:00;47,48858
8;08.09.2021 16:00;48,56459
8;09.09.2021 0:00;46,2963
8;09.09.2021 8:00;44,05286
8;09.09.2021 16:00;45,11111
8;10.09.2021 0:00;47,48858
8;10.09.2021 8:00;45,63758
8;10.09.2021 16:00;45,3012
8;11.09.2021 0:00;44,84305
8;11.09.2021 8:00;48,44444
8;11.09.2021 16:00;43,96355
8;12.09.2021 0:00;43,7788
8;12.09.2021 8:00;47,03196
8;12.09.2021 16:00;45,92075
8;13.09.2021 0:00;46,58823
8;13.09.2021 8:00;42,98642
8;13.09.2021 16:00;43,05556
8;14.09.2021 0:00;45,68528
8;14.09.2021 8:00;44,10378
8;14.09.2021 16:00;47,28133
8;15.09.2021 0:00;44,68085
8;15.09.2021 8:00;45,6621
8;15.09.2021 16:00;42,85714
8;16.09.2021 0:00;45,23809
8;16.09.2021 8:00;43,8914
8;16.09.2021 16:00;45,63107
8;17.09.2021 0:00;45,62212
8;17.09.2021 8:00;45,45454
8;17.09.2021 16:00;49,39759
8;18.09.2021 0:00;46,32911
8;18.09.2021 8:00;42,5
8;18.09.2021 16:00;45,74209
8;19.09.2021 0:00;43,63636
8;19.09.2021 8:00;44,01806
